,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Name
50,3719.393939,4082.060606,4249.484848,4505,3951.212121,4452.454545,4150.060606,4563.212121,4586.90909,4309.757575,4967.090909,4590,3884.242424,4630.696969,left
51,3662.212121,4147.484848,4220.121212,4580.212121,4032.090909,4546.212121,4192.30303,4632.242424,4619.363636,4300.484848,5044.878787,4552.90909,3763.696969,4084.636363,left
52,3662.212121,4147.484848,4220.121212,4580.212121,4032.090909,4546.212121,4192.30303,4632.242424,4619.363636,4300.484848,5044.878787,4552.90909,3763.696969,4084.636363,left
53,4525.090909,4921.757575,4342.727272,4670.878787,4086.181818,4627.60606,4091.848484,4418.454545,4459.151515,4123.272727,4661.090909,4406.60606,3924.424242,4571.454545,left
54,5397.242424,5550.757575,4012.515151,4286.575757,3846.636363,4173.757575,3566.393939,4414.333333,4329.333333,4267.515151,4085.666666,4980.484848,4259.272727,6291.545454,left
55,5397.242424,5550.757575,4012.515151,4286.575757,3846.636363,4173.757575,3566.393939,4414.333333,4329.333333,4267.515151,4085.666666,4980.484848,4259.272727,6291.545454,left
56,5371.999999,5801.121212,3924.424242,4017.151515,3787.909091,4122.757575,3513.333333,4491.60606,4224.757575,4212.393939,3783.787878,5637.30303,4301,6675.333333,left
57,5371.999999,5801.121212,3924.424242,4017.151515,3787.909091,4122.757575,3513.333333,4491.60606,4224.757575,4212.393939,3783.787878,5637.30303,4301,6675.333333,left
58,4590.515151,5617.727272,3212.484848,4307.696969,4188.181818,4579.181818,3964.090909,4326.757575,4314.393939,3902.787878,4543.636363,3611.727272,3756.484848,5820.696969,left
59,4590.515151,5617.727272,3212.484848,4307.696969,4188.181818,4579.181818,3964.090909,4326.757575,4314.393939,3902.787878,4543.636363,3611.727272,3756.484848,5820.696969,left
60,4590.515151,5617.727272,3212.484848,4307.696969,4188.181818,4579.181818,3964.090909,4326.757575,4314.393939,3902.787878,4543.636363,3611.727272,3756.484848,5820.696969,left
61,3576.181818,4262.878787,4897.545454,4568.363636,4382.393939,4959.878787,4544.151515,4361.787878,4503.969697,4399.90909,4154.696969,1845.272727,4398.363636,3957.393939,left
62,3391.242424,4884.666666,3866.727272,4771.333333,4369.515151,5034.060606,4650.787878,4298.424242,4436.484848,4274.727272,4139.242424,1286.333333,4763.60606,4342.727272,left
63,3811.090909,4550.333333,3222.787878,5483.787878,4563.212121,5394.151515,5307.090909,4250.515151,4311.30303,3991.393939,4218.060606,2228.030303,4054.757575,1930.272727,left
